42:  1/5 : 88.4% | 2/5 : 72.1% | 3/5 : 53.5% | 4/5 : 51.2% | 5/5 : 46.5% | 6/5 : 311.6% ||
43:  1/5 : 88.6% | 2/5 : 72.7% | 3/5 : 54.5% | 4/5 : 52.3% | 5/5 : 47.7% | 6/5 : 315.9% ||
44:  1/5 : 88.9% | 2/5 : 73.3% | 3/5 : 55.6% | 4/5 : 53.3% | 5/5 : 48.9% | 6/5 : 320.0% ||
45:  1/5 : 89.1% | 2/5 : 73.9% | 3/5 : 54.3% | 4/5 : 52.2% | 5/5 : 47.8% | 6/5 : 317.4% ||
46:  1/5 : 89.4% | 2/5 : 72.3% | 3/5 : 53.2% | 4/5 : 51.1% | 5/5 : 46.8% | 6/5 : 312.8% ||
47:  1/5 : 89.6% | 2/5 : 70.8% | 3/5 : 52.1% | 4/5 : 50.0% | 5/5 : 45.8% | 6/5 : 308.3% ||
48:  1/5 : 89.8% | 2/5 : 71.4% | 3/5 : 53.1% | 4/5 : 51.0% | 5/5 : 46.9% | 6/5 : 312.2% ||
49:  1/5 : 88.0% | 2/5 : 70.0% | 3/5 : 52.0% | 4/5 : 50.0% | 5/5 : 46.0% | 6/5 : 306.0% ||
50:  1/5 : 88.2% | 2/5 : 68.6% | 3/5 : 51.0% | 4/5 : 49.0% | 5/5 : 45.1% | 6/5 : 302.0% ||
51:  1/5 : 86.5% | 2/5 : 67.3% | 3/5 : 50.0% | 4/5 : 48.1% | 5/5 : 44.2% | 6/5 : 296.2% ||
52:  1/5 : 86.8% | 2/5 : 67.9% | 3/5 : 50.9% | 4/5 : 49.1% | 5/5 : 45.3% | 6/5 : 300.0% ||
53:  1/5 : 87.0% | 2/5 : 68.5% | 3/5 : 51.9% | 4/5 : 48.1% | 5/5 : 44.4% | 6/5 : 300.0% ||
54:  1/5 : 87.3% | 2/5 : 69.1% | 3/5 : 52.7% | 4/5 : 47.3% | 5/5 : 43.6% | 6/5 : 300.0% ||
55:  1/5 : 87.5% | 2/5 : 67.9% | 3/5 : 51.8% | 4/5 : 46.4% | 5/5 : 42.9% | 6/5 : 296.4% ||
56:  1/5 : 87.7% | 2/5 : 66.7% | 3/5 : 50.9% | 4/5 : 45.6% | 5/5 : 42.1% | 6/5 : 293.0% ||
57:  1/5 : 87.9% | 2/5 : 65.5% | 3/5 : 50.0% | 4/5 : 44.8% | 5/5 : 41.4% | 6/5 : 289.7% ||
58:  1/5 : 88.1% | 2/5 : 66.1% | 3/5 : 50.8% | 4/5 : 45.8% | 5/5 : 40.7% | 6/5 : 291.5% ||
59:  1/5 : 88.3% | 2/5 : 66.7% | 3/5 : 51.7% | 4/5 : 46.7% | 5/5 : 41.7% | 6/5 : 295.0% ||
60:  1/5 : 88.5% | 2/5 : 67.2% | 3/5 : 50.8% | 4/5 : 45.9% | 5/5 : 41.0% | 6/5 : 293.4% ||
61:  1/5 : 87.1% | 2/5 : 66.1% | 3/5 : 50.0% | 4/5 : 45.2% | 5/5 : 40.3% | 6/5 : 288.7% ||
62:  1/5 : 87.3% | 2/5 : 66.7% | 3/5 : 50.8% | 4/5 : 46.0% | 5/5 : 41.3% | 6/5 : 292.1% ||
63:  1/5 : 87.5% | 2/5 : 67.2% | 3/5 : 51.6% | 4/5 : 46.9% | 5/5 : 42.2% | 6/5 : 295.3% ||
64:  1/5 : 87.7% | 2/5 : 66.2% | 3/5 : 50.8% | 4/5 : 46.2% | 5/5 : 41.5% | 6/5 : 292.3% ||
65:  1/5 : 87.9% | 2/5 : 66.7% | 3/5 : 51.5% | 4/5 : 47.0% | 5/5 : 42.4% | 6/5 : 295.5% ||
66:  1/5 : 88.1% | 2/5 : 67.2% | 3/5 : 52.2% | 4/5 : 47.8% | 5/5 : 43.3% | 6/5 : 298.5% ||
