240/250: 0.793 | 0.552 | 0.456 | 0.340 | 0.290 | 
241/250: 0.793 | 0.554 | 0.455 | 0.339 | 0.289 | 
242/250: 0.790 | 0.551 | 0.453 | 0.337 | 0.288 | 
243/250: 0.787 | 0.549 | 0.451 | 0.336 | 0.287 | 
244/250: 0.784 | 0.547 | 0.449 | 0.335 | 0.286 | 
245/250: 0.785 | 0.549 | 0.451 | 0.337 | 0.289 | 
246/250: 0.785 | 0.547 | 0.449 | 0.336 | 0.287 | 
247/250: 0.786 | 0.548 | 0.448 | 0.335 | 0.286 | 
248/250: 0.787 | 0.546 | 0.446 | 0.333 | 0.285 | 
249/250: 0.788 | 0.544 | 0.444 | 0.332 | 0.284 | 
